league,home_team,away_team,B365H,B365D,B365A,match_time,fixture_id,date
EPL,Nottingham Forest,Brentford,2.15,3.25,3.6,2025-08-17T13:00:00+00:00,1378972,2025-08-17
EPL,Chelsea,Crystal Palace,1.7,4.0,4.5,2025-08-17T13:00:00+00:00,1378976,2025-08-17
Ligue_1,Stade Brestois 29,Lille,2.62,3.1,2.8,2025-08-17T13:00:00+00:00,1387700,2025-08-17
La_liga,Celta Vigo,Getafe,1.67,3.4,6.0,2025-08-17T15:00:00+00:00,1390821,2025-08-17
Ligue_1,Angers,Paris FC,3.1,3.4,2.3,2025-08-17T15:15:00+00:00,1387698,2025-08-17
Ligue_1,Auxerre,Lorient,2.38,3.25,3.1,2025-08-17T15:15:00+00:00,1387699,2025-08-17
Ligue_1,Metz,Strasbourg,3.5,3.4,2.1,2025-08-17T15:15:00+00:00,1387702,2025-08-17
EPL,Manchester United,Arsenal,4.0,3.7,1.85,2025-08-17T15:30:00+00:00,1378977,2025-08-17
La_liga,Athletic Club,Sevilla,,,,2025-08-17T17:30:00+00:00,1390820,2025-08-17
Ligue_1,Nantes,Paris Saint Germain,,,,2025-08-17T18:45:00+00:00,1387704,2025-08-17
La_liga,Espanyol,Atletico Madrid,,,,2025-08-17T19:30:00+00:00,1390823,2025-08-17
