league,home_team,away_team,B365H,B365D,B365A,match_time,fixture_id,date
La_liga,Girona,Rayo Vallecano,2.25,3.25,3.3,2025-08-15T17:00:00+00:00,1390824,2025-08-15
Ligue_1,Rennes,Marseille,3.75,3.6,1.95,2025-08-15T18:45:00+00:00,1387706,2025-08-15
EPL,Liverpool,Bournemouth,1.3,6.0,8.5,2025-08-15T19:00:00+00:00,1378969,2025-08-15
La_liga,Villarreal,Oviedo,1.4,4.75,7.5,2025-08-15T19:30:00+00:00,1390828,2025-08-15
